brand,segment,provenance,outlets
TCC – THE CONNOISSEUR CONCERTO,F&B,Unknown,2
Kaeden Cafe,F&B,Unknown,1
Pohang Seafood & Butchery,F&B,Unknown,1
PINWEI MALA 品味麻辣,F&B,Unknown,1
TTEOK Sang,F&B,Unknown,1
Zheng Neng Zhu La Mian,F&B,Unknown,1
Nana Original Thai Food,F&B,Unknown,1
Blanco Court Beef Noodle,F&B,Unknown,1
The Pack Protein & Salad bar,F&B,Unknown,1
Folks Collective & Slurp Noodle Bar,F&B,Unknown,1
Chef Foong Restaurant,F&B,Unknown,1
IM-EM Thai Kitchen,F&B,Unknown,1
Hao Lai Ke,F&B,Unknown,1
FM Food Master,F&B,Unknown,1
Ha Jun,F&B,Unknown,1
EPIKebabs,F&B,Unknown,1
Banzai Izakaya Live House,F&B,Unknown,1
Steam By Local Coffee People,F&B,Unknown,1
Martina's Kitchen,F&B,Unknown,1
Nai Nai Flavour,F&B,Unknown,1
Heritage Tanglin Puff,F&B,Unknown,1
Gado & Grill,F&B,Unknown,1
Delibowl Express,F&B,Unknown,1
Yum Yum Tod Tod,F&B,Unknown,1
Happy Bites by Swee Heng,F&B,Unknown,1
PrimaDeli,F&B,Unknown,1
COFFEESARANG,F&B,Unknown,1
CRAVE/Stuff'd,F&B,Unknown,1
KEBABCHI BIRYANI,F&B,Unknown,1
PANDA CHAN SNACK,F&B,Unknown,1
Toast & Roll,F&B,Unknown,1
Ji Xiang Everton,F&B,Unknown,1
Bibimbap! / Dosirak!,F&B,Unknown,1
SGFR Store,F&B,Unknown,1
Eighteen Chefs,F&B,Unknown,1
Tip Top,F&B,Singaporean,1
XiaoLongKan Hotpot,F&B,Unknown,1
BUTTER STUDIO,F&B,Unknown,1
JOY LUCK TEAHOUSE,F&B,Unknown,1
Hey! Yakiniku,F&B,Unknown,1
Tangled Fresh Pasta To Go,F&B,Unknown,1
IRVINS,F&B,Unknown,1
Shinfuni 幸芙妮,F&B,Unknown,1
MARU MOCHI,F&B,Unknown,1
THACHANG SG,F&B,Unknown,1
MM 满巍明生炸鸡架,F&B,Unknown,1
Crystal Jade La Mian Xiao Long Bao,F&B,Unknown,1
Nam Kee JB Handmade Pau,F&B,Unknown,1
ALLEY.WEI TEPPAN-YAKI,F&B,Unknown,1
Tokyo Shokudo Bistro,F&B,Unknown,1
PHO VIETZ,F&B,Unknown,1
Gochiya,F&B,Unknown,1
YANG'S DUMPLING,F&B,Unknown,1
BU ER CLASSMATE,F&B,Unknown,1
Kai Oh Don海王,F&B,Unknown,1
KANEMOCHI,F&B,Unknown,1
Umeya,F&B,Unknown,1
Pizza Maru,F&B,Unknown,1
Pratunam Plus,F&B,Unknown,1
Marutama Ra-men,F&B,Unknown,1
Una Una,F&B,Unknown,1
Ramen Champion,F&B,Unknown,1
Meow Barbecue,F&B,Unknown,1
LAU WANG CLAYPOT,F&B,Unknown,1
AZUL at Golden Village,F&B,Unknown,1
MICUN Bibimbap,F&B,Unknown,1
New Manlee Bak Kut Teh,F&B,Unknown,1
JINJJA!! CHICKEN DINER,F&B,Unknown,1
SCRAMBLED EGG RICE KEISUKE,F&B,Unknown,1
SIDES,F&B,Unknown,1
XITA LAO TAITAI,F&B,Unknown,1
KIMCHI MAMA,F&B,Unknown,1
CHICK-FIL-A,F&B,Unknown,1
iMANGO,F&B,Unknown,1
Capital,F&B,Unknown,1
Little Saigon,F&B,Unknown,1
Tomo Tokyo,F&B,Unknown,1
Verve Pizza Bar,F&B,Unknown,1
WAREHOUSE,F&B,Unknown,1
Gabbar Bistro Bar,F&B,Unknown,1
Here Kitty Kitty,F&B,Unknown,1
BBQ Box Prime,F&B,Unknown,1
Monster Fish,F&B,Unknown,1
Fu Lin Restaurant & Bar,F&B,Unknown,1
Rico Rico,F&B,Unknown,1
Seafood Paradise,F&B,Unknown,1
Chapters by Drinks & Co.,F&B,Unknown,1
Nana Thai Royale,F&B,Unknown,1
Grand Konak Turkish and Lebanese Cuisine,F&B,Unknown,1
Home,F&B,Unknown,1
Helen's,F&B,Unknown,1
Coco Lato,F&B,Unknown,1
Chupitos,F&B,Unknown,1
Cuba Libre Cafe & Bar,F&B,Unknown,1
Harry’s,F&B,Unknown,1
Octapas by El Mesa,F&B,Unknown,1
Red House Seafood Nanyang,F&B,Unknown,1
RedTail Bar By Zouk,F&B,Unknown,1
East Treasure,F&B,Unknown,1
The Riverhouse,F&B,Unknown,1
Hanjip Korean Grill House,F&B,Unknown,1
Jules Epicurean French Cuisine,F&B,Unknown,1
Fu Yuan Teochew Dining,F&B,Unknown,1
Pita Tree Kebabs,F&B,Unknown,1
Kopi & Spells,F&B,Unknown,1
Malayan Settlement,F&B,Unknown,1
The Coffee Scene,F&B,Unknown,1
Waffle Up,F&B,Unknown,1
YANG Club,F&B,Unknown,1
BALIthai,F&B,Unknown,1
Hei Sushi,F&B,Unknown,1
Pontian Mee,F&B,Unknown,1
Wan Chai Hong Kong Tea Room,F&B,Unknown,1
Fu Lin Fried Yong Tofu,F&B,Unknown,1
Andes by Astons,F&B,Unknown,1
Lao Jiang Superior Soup,F&B,Unknown,1
BANTIANYAO GRILLED FISH 半天妖烤鱼,F&B,Unknown,1
Makan Street 福满街,F&B,Unknown,1
Hong Kong Egglet & Nam Kee JB Handmade Pau,F&B,Unknown,1
Do Qoo 豆趣,F&B,Unknown,1
PEPPER GRILL,F&B,Unknown,1
Paad Paad Tha!,F&B,Unknown,1
PASTA EXPRESS +,F&B,Unknown,1
Mama Klang,F&B,Unknown,1
Batter Catch,F&B,Unknown,1
Ambush,F&B,Unknown,1
TamJai SamGor Mixian,F&B,Unknown,1
GRUB,F&B,Unknown,1
Saybons French Food Factory,F&B,Unknown,1
4 Fingers Crispy Chicken,F&B,Unknown,1
Serangoon BBQ & Curry since 1983,F&B,Unknown,1
Seoul Noodle,F&B,Unknown,1
Hainanese Curry Rice,F&B,Unknown,1
Miss Tea,F&B,Unknown,1
Tori Story,F&B,Unknown,1
JUEWEI BRAISED SNACKS,F&B,Unknown,1
Cajun On Wheels,F&B,Unknown,1
Nanjing Impressions,F&B,Unknown,1
Secret Recipe,F&B,Unknown,1
Typhoon Cafe,F&B,Unknown,1
Tamoya Udon,F&B,Unknown,1
Aki Sushi & Grill,F&B,Unknown,1
Killiney Since 1919,F&B,Unknown,1
GyoGyo Japanese Grilled Fish & Sukiyaki,F&B,Unknown,1
The Sushi Bar,F&B,Unknown,1
Chiyoda Sushi,F&B,Unknown,1
BIZEN Wagyu & Salad Bar,F&B,Unknown,1
Manna,F&B,Unknown,1
Nana's Green Tea,F&B,Unknown,1
Nam Kee,F&B,Unknown,1
Cô Chung,F&B,Unknown,1
PM+ by Pizza Maru / Chego by Seoul Yummy,F&B,Unknown,1
The JellyHearts,F&B,Unknown,1
Paper Rice Vietnamese Kitchen,F&B,Unknown,1
Bashu Sichuan Cuisine,F&B,Unknown,1
Tsuzumi Dango つづみ団子,F&B,Unknown,1
M'Burger Inn,F&B,Unknown,1
Asian Market Cafe,F&B,Unknown,1
Hyang-To-Gol,F&B,Unknown,1
Nespresso,F&B,Unknown,1
Prego,F&B,Unknown,1
Sufood,F&B,Unknown,1
The Cookie Museum,F&B,Unknown,1
The Stamford Brasserie,F&B,Unknown,1
SKAI,F&B,Unknown,1
SKAI Bar,F&B,Unknown,1
The Eight,F&B,Unknown,1
Milkfish,F&B,Unknown,1
Paris Baguette x teatra,F&B,Unknown,1
Asia Grand Restaurant,F&B,Unknown,1
LUCIA The Brownie Bar,F&B,Unknown,1
BROTHERBIRD BAKEHOUSE,F&B,Unknown,1
WO WO DIAN 窝窝店 百年包子,F&B,Unknown,1
MoVida Singapore,F&B,Unknown,1
ANTI:DOTE,F&B,Unknown,1
JAAN BY KIRK WESTAWAY,F&B,Unknown,1
Lee Wee & Brothers' Foodstuff,F&B,Unknown,1
O'Coffee Club,F&B,Unknown,1
PUTIEN Restaurant,F&B,Unknown,1
Shahi Maharani North Indian Restaurant,F&B,Unknown,1
Wooloomooloo Steak House,F&B,Unknown,1
TWG Tea Salon & Boutique,F&B,Unknown,1
Koji Sushi Bar,F&B,Unknown,1
CLOVE,F&B,Unknown,1
MENSHO TOKYO SG,F&B,Unknown,1
