shop,type,num_malls,num_outlets,malls
Shihlin Taiwan Street Snacks,F&B,9,9,"313@somerset, AMK Hub, Aperia Mall, City Square Mall, Hougang Mall, Jurong Point, Northpoint City, PLQ Mall, Square 2"
Super Sushi,F&B,9,9,"Hougang Mall, ION Orchard, Jem, Jurong Point, Northpoint City, Sengkang Grand Mall, Tampines Mall, Tiong Bahru Plaza, White Sands"
llaollao,F&B,9,9,"AMK Hub, Great World, IMM Building, Jewel Changi Airport, Northpoint City, Plaza Singapura, Tampines 1, VivoCity, Wisma Atria"
Dough Culture,F&B,8,8,"AMK Hub, Causeway Point, Hougang Mall, Northpoint City, Sengkang Grand Mall, Tampines Mall, Waterway Point, White Sands"
Haidilao Hot Pot,F&B,8,8,"313@somerset, Bugis+ (Part of Bugis Town), Century Square, IMM Building, Marina Square, PLQ Mall, Plaza Singapura, Wisma Atria"
Ichiban Boshi,F&B,8,8,"AMK Hub, Causeway Point, Century Square, Great World, Jem, Jurong Point, Velocity@Novena Square, Waterway Point"
Kenangan Coffee,F&B,8,8,"AMK Hub, Aperia Mall, IMM Building, Jewel Changi Airport, Ngee Ann City, Raffles City Shopping Centre, Tampines Mall, VivoCity"
Kopi & Tarts,F&B,8,8,"AMK Hub, Aperia Mall, City Square Mall, Funan, Jurong Point, Northpoint City, Suntec City, White Sands"
Saizeriya,F&B,8,8,"Aperia Mall, Century Square, Hougang 1, Marina Square, PLQ Mall, Tampines 1, United Square, White Sands"
Song Fa Bak Kut Teh,F&B,8,8,"Jem, Jewel Changi Airport, Northpoint City, Suntec City, The Centrepoint, Velocity@Novena Square, VivoCity, Waterway Point"
Steak 99,F&B,8,8,"AMK Hub, Causeway Point, Jem, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Plaza Singapura, Tiong Bahru Plaza"
Tai Cheong Bakery,F&B,8,8,"ION Orchard, Jem, Northpoint City, PLQ Mall, Raffles City Shopping Centre, Square 2, Tampines 1, VivoCity"
Wingstop,F&B,8,8,"AMK Hub, Bedok Mall, City Square Mall, Funan, Jem, Jurong Point, Tampines Mall, White Sands"
Yakiniku Like,F&B,8,8,"313@somerset, AMK Hub, Junction 8, PLQ Mall, Suntec City, Tampines 1, VivoCity, Westgate"
Crystal Jade Hong Kong Kitchen,F&B,7,7,"Causeway Point, Great World, Jurong Point, Ngee Ann City, One Holland Village, Suntec City, Tampines 1"
